transaction_id,drug_id,hospital_id,transaction_type,quantity,transaction_date,performed_by
DT0000129,DR136,H001,Dispensing,9,2024-12-12,Labib Younis
DT0000130,DR026,H001,Dispensing,14,2024-12-08,Wassim Amin
DT0000131,DR027,H001,Dispensing,7,2025-01-26,Rania Abdel-Aziz
DT0000132,DR160,H001,Adjustment,5,2024-07-25,Salma Hatem
DT0000133,DR072,H001,Dispensing,23,2024-05-29,Basel Barakat
DT0000134,DR040,H001,Dispensing,3,2025-02-06,Sherif Abdel-Monem
DT0000135,DR108,H001,Wastage,3,2025-01-19,Abdelhamid Hanafy
DT0000136,DR031,H001,Purchase,97,2025-01-16,Nevine Nofal
DT0000137,DR079,H001,Purchase,453,2025-03-15,Samira Lotfy
DT0000138,DR123,H001,Dispensing,33,2024-05-15,Samer Metwally
DT0000139,DR063,H001,Purchase,174,2024-07-09,Rozan El-Sayed
DT0000140,DR082,H001,Dispensing,22,2024-10-17,Maged Farag
DT0000141,DR165,H001,Wastage,18,2025-01-10,Mamdouh El-Gohary
DT0000142,DR039,H001,Purchase,296,2024-08-24,Dalia El-Banna
DT0000143,DR125,H001,Dispensing,20,2024-05-12,Asmaa El-Shaer
DT0000144,DR152,H001,Wastage,22,2024-08-26,Raafat Morsi
DT0000145,DR094,H001,Adjustment,18,2024-06-29,Ali Mahrous
DT0000146,DR174,H001,Adjustment,9,2025-04-13,Mahmoud Abdel-Aziz
DT0000147,DR166,H001,Dispensing,220,2024-07-01,Ramzy Ibrahim
DT0000148,DR059,H001,Dispensing,47,2024-07-01,Sobhi Eid
DT0000149,DR009,H001,Purchase,286,2025-02-09,Fatima El-Diwany
DT0000150,DR139,H001,Adjustment,22,2025-01-28,Dalia El-Banna
DT0000151,DR128,H001,Wastage,5,2025-01-09,Mamdouh El-Gohary
DT0000152,DR168,H001,Dispensing,16,2025-01-23,Mohsen Radwan
DT0000153,DR109,H001,Dispensing,26,2025-02-03,Khadija Fawzy
DT0000154,DR043,H001,Wastage,24,2025-02-03,Khadija Fawzy
DT0000155,DR019,H001,Wastage,13,2024-10-05,Sobhi Osman
DT0000156,DR036,H001,Dispensing,16,2024-11-12,Yara El-Tayeb
DT0000157,DR046,H001,Return,15,2025-03-05,Fares El-Shaer
DT0000158,DR107,H001,Dispensing,9,2024-10-25,Shereen Shaaban
DT0000159,DR126,H001,Dispensing,49,2024-11-21,Rania Abdel-Aziz
DT0000160,DR104,H001,Dispensing,1,2024-09-06,Raafat Mahrous
DT0000161,DR024,H001,Wastage,14,2024-06-11,Zaki Rushdy
DT0000162,DR031,H001,Return,25,2024-07-29,Hazem Hassan
DT0000163,DR048,H001,Dispensing,24,2024-10-01,Fathy El-Arabi
DT0000164,DR036,H001,Return,24,2024-11-26,Rania Abdel-Aziz
DT0000165,DR099,H001,Dispensing,50,2024-05-30,Karam Morsi
DT0000166,DR116,H001,Purchase,449,2024-08-14,Basma Shaaban
DT0000167,DR072,H001,Dispensing,28,2024-07-02,Diaa Gaber
DT0000168,DR127,H001,Return,27,2025-02-08,Basel Ali
DT0000169,DR170,H001,Dispensing,180,2024-12-29,Rania Abdel-Aziz
DT0000170,DR025,H001,Dispensing,14,2024-06-07,Aisha Ali
DT0000171,DR060,H001,Wastage,4,2024-06-13,Salma Hamouda
DT0000172,DR142,H001,Purchase,373,2024-10-26,Youssef Hamouda
DT0000173,DR165,H001,Return,30,2024-06-04,Nagwa Gaber
DT0000174,DR015,H001,Dispensing,25,2024-08-18,Basel Ali
DT0000175,DR044,H001,Dispensing,124,2024-12-26,Ali Mahrous
DT0000176,DR152,H001,Wastage,4,2024-07-11,Yara Mansour
DT0000177,DR094,H001,Dispensing,39,2024-12-26,Marwan Ramadan
DT0000178,DR111,H001,Return,4,2025-04-28,Magid Ghanem
DT0000179,DR053,H001,Dispensing,20,2024-05-28,Yara El-Tayeb
DT0000180,DR088,H001,Wastage,15,2024-12-14,Hatem Radwan
DT0000181,DR054,H001,Dispensing,38,2024-10-31,Randa Abdallah
DT0000182,DR167,H001,Wastage,5,2024-11-07,Nadia Fawzy
DT0000183,DR040,H001,Dispensing,43,2024-09-28,Marwan Ramadan
DT0000184,DR071,H001,Purchase,454,2024-06-26,Ramy Hamza
DT0000185,DR058,H001,Dispensing,32,2024-09-09,Rozan El-Sayed
DT0000186,DR127,H001,Adjustment,29,2025-01-27,May Salem
DT0000187,DR175,H001,Wastage,7,2024-08-08,May Salem
DT0000188,DR076,H001,Purchase,118,2024-09-04,Amr Bayoumi
DT0000189,DR116,H001,Dispensing,35,2024-12-25,Basel Ali
DT0000190,DR034,H001,Dispensing,1,2024-06-26,Basel Barakat
DT0000191,DR111,H001,Dispensing,9,2024-12-01,Raafat Mahrous
DT0000192,DR172,H001,Adjustment,4,2024-11-18,Ramy Hamza
DT0000193,DR012,H001,Dispensing,23,2024-11-16,Yara Mansour
DT0000194,DR083,H001,Dispensing,46,2025-03-20,Fathy El-Gohary
DT0000195,DR060,H001,Return,4,2024-07-03,Fatima El-Diwany
DT0000196,DR040,H001,Adjustment,12,2025-01-29,Zaki Khalil
DT0000197,DR086,H001,Dispensing,37,2025-02-02,Tharwat El-Banna
DT0000198,DR160,H001,Return,12,2025-03-19,Ayman Mohamed
DT0000199,DR065,H001,Dispensing,12,2025-01-05,Iman Selim
DT0000200,DR166,H001,Purchase,60,2025-03-07,Youssef Hamouda
DT0000201,DR150,H001,Adjustment,24,2025-04-23,Samir El-Naggar
DT0000202,DR078,H001,Purchase,82,2025-03-21,Fathy El-Arabi
DT0000203,DR171,H001,Dispensing,3,2025-01-17,Mahmoud Abdel-Aziz
DT0000204,DR059,H001,Dispensing,15,2025-03-29,Amr El-Banna
DT0000205,DR097,H001,Purchase,236,2024-08-01,Saad Abdel-Monem
DT0000206,DR105,H001,Dispensing,30,2024-06-29,Farida El-Gohary
DT0000207,DR016,H001,Dispensing,4,2025-01-28,Basma Shaaban
DT0000208,DR069,H001,Dispensing,1,2024-11-30,Marwan Ramadan
DT0000209,DR108,H001,Dispensing,36,2024-10-16,Basma Shaaban
DT0000210,DR152,H001,Dispensing,39,2024-09-14,Hatem Radwan
DT0000211,DR160,H001,Dispensing,33,2024-12-15,Diaa Gaber
DT0000212,DR078,H001,Dispensing,33,2024-07-22,Amal Lotfy
DT0000213,DR015,H001,Purchase,346,2024-12-31,Abdelaziz El-Rashidy
DT0000214,DR098,H001,Purchase,496,2024-12-08,Basel Barakat
DT0000215,DR044,H001,Dispensing,3,2024-10-06,Ali Mahrous
DT0000216,DR017,H001,Dispensing,22,2025-03-09,Basel Ali
DT0000217,DR091,H001,Dispensing,19,2025-04-28,Nagy Eid
DT0000218,DR042,H001,Wastage,2,2024-11-06,Hani Amin
DT0000219,DR111,H001,Dispensing,24,2025-03-20,Labib Younis
DT0000220,DR149,H001,Adjustment,11,2025-04-28,Nasr Sorour
DT0000221,DR164,H001,Wastage,1,2024-09-22,Medhat El-Sawi
DT0000222,DR125,H001,Dispensing,12,2024-11-12,Ziad El-Assar
DT0000223,DR069,H001,Wastage,4,2025-01-19,Hassan El-Malt
DT0000224,DR048,H001,Dispensing,10,2025-01-12,Raafat Mahrous
DT0000225,DR115,H001,Adjustment,20,2024-09-13,Farida El-Gohary
DT0000226,DR016,H001,Dispensing,21,2024-06-02,Fathy El-Gohary
DT0000227,DR011,H001,Dispensing,35,2025-05-09,Ayman Mohamed
DT0000228,DR085,H001,Purchase,281,2024-12-17,Yara Mansour
DT0000229,DR018,H001,Purchase,220,2025-03-04,Raafat Mahrous
DT0000230,DR077,H001,Adjustment,11,2024-08-25,Magid Ghanem
DT0000231,DR121,H001,Dispensing,11,2025-01-02,Yara Mansour
DT0000232,DR023,H001,Purchase,124,2025-04-10,Soha Gaber
DT0000233,DR045,H001,Dispensing,5,2025-04-24,Ayman Amin
DT0000234,DR021,H001,Wastage,9,2024-09-02,Shaimaa Mansour
DT0000235,DR096,H001,Adjustment,26,2024-07-23,Lamia Ali
DT0000236,DR026,H001,Purchase,375,2024-09-10,Iman Selim
DT0000237,DR090,H001,Dispensing,18,2024-10-11,Ramzy Ibrahim
DT0000238,DR159,H001,Dispensing,15,2024-05-10,Amal Lotfy
DT0000239,DR158,H001,Dispensing,35,2024-07-18,Yara El-Tayeb
DT0000240,DR041,H001,Dispensing,116,2024-09-12,Samir El-Naggar
DT0000241,DR167,H001,Return,20,2025-03-29,Farida El-Malt
DT0000242,DR133,H001,Dispensing,19,2025-04-23,Nagwa Gaber
DT0000243,DR052,H001,Dispensing,35,2025-03-31,Nadia Fawzy
DT0000244,DR068,H001,Dispensing,36,2024-05-17,Riham Rashad
DT0000245,DR108,H001,Dispensing,50,2024-12-20,Yara Mansour
DT0000246,DR158,H001,Wastage,25,2025-04-09,Zaki Rushdy
DT0000247,DR158,H001,Dispensing,32,2025-04-13,Shereen Shaaban
DT0000248,DR135,H001,Dispensing,16,2024-08-11,Amr Bayoumi
DT0000249,DR138,H001,Dispensing,13,2024-09-04,Ramy Hamza
DT0000250,DR029,H001,Dispensing,28,2024-11-03,Dalia El-Banna
DT0000251,DR048,H001,Return,9,2024-12-07,Yara Mansour
DT0000252,DR111,H001,Dispensing,24,2024-09-04,Fathy El-Arabi
DT0000253,DR082,H001,Purchase,381,2024-07-29,Basel Ali
DT0000254,DR063,H001,Dispensing,25,2024-11-22,Youssef Hamouda
DT0000255,DR068,H001,Dispensing,202,2024-07-28,Omar El-Hariry
DT0000256,DR058,H001,Dispensing,5,2025-03-10,Raafat Morsi
DT0000257,DR084,H001,Dispensing,27,2024-10-01,Akram Bayoumi
DT0000258,DR084,H001,Dispensing,33,2025-05-07,Saad El-Sayed
DT0000259,DR007,H001,Dispensing,49,2024-07-20,Akram Bayoumi
DT0000260,DR021,H001,Dispensing,17,2025-04-23,Sobhi Osman
DT0000261,DR076,H001,Dispensing,27,2024-05-27,Zaki Rushdy
DT0000262,DR079,H001,Wastage,14,2024-09-19,Safaa Hegazy
DT0000263,DR097,H001,Dispensing,7,2024-08-09,Lamia Ismail
DT0000264,DR040,H001,Purchase,292,2025-02-26,Samer Metwally
DT0000265,DR006,H001,Dispensing,219,2025-03-06,Fares El-Shaer
DT0000266,DR037,H001,Wastage,28,2024-05-14,Soha Gaber
DT0000267,DR169,H001,Wastage,10,2024-08-17,Nagwa Gaber
DT0000268,DR154,H001,Dispensing,31,2025-01-13,Dalia El-Banna
DT0000269,DR011,H001,Purchase,244,2024-06-22,Saad El-Sayed
DT0000270,DR002,H001,Return,30,2024-06-24,Shaimaa Mansour
DT0000271,DR114,H001,Purchase,162,2024-12-16,Hassan El-Malt
DT0000272,DR064,H001,Dispensing,43,2024-10-29,Walid El-Desouky
DT0000273,DR067,H001,Purchase,365,2024-09-28,Saad Abdel-Monem
DT0000274,DR155,H001,Adjustment,4,2024-12-10,Samir El-Naggar
DT0000275,DR045,H001,Return,22,2024-09-14,Sobhi Eid
DT0000276,DR110,H001,Adjustment,18,2024-09-12,Walid El-Desouky
DT0000277,DR040,H001,Dispensing,35,2024-12-13,Amal Lotfy
DT0000278,DR024,H001,Purchase,159,2024-11-19,Ayman Amin
DT0000279,DR065,H001,Return,7,2025-03-22,Nagwa Gaber
DT0000280,DR152,H001,Adjustment,8,2024-06-29,Omar El-Hariry
DT0000281,DR166,H001,Purchase,279,2025-05-05,Nagy Eid
DT0000282,DR115,H001,Dispensing,33,2024-06-04,Asmaa El-Shaer
DT0000283,DR153,H001,Dispensing,18,2024-06-04,Iman Selim
DT0000284,DR057,H001,Dispensing,44,2024-08-07,Marwan Shehata
DT0000285,DR093,H001,Dispensing,7,2024-06-02,Mohsen Radwan
DT0000286,DR128,H001,Adjustment,2,2024-05-25,Soha Gaber
DT0000287,DR007,H001,Dispensing,12,2024-10-03,Marwan Ramadan
DT0000288,DR167,H001,Dispensing,138,2024-10-07,Basel Ali
DT0000289,DR047,H001,Dispensing,17,2025-03-01,Lamia Ismail
DT0000290,DR069,H001,Dispensing,28,2024-06-15,Farida El-Malt
DT0000291,DR122,H001,Dispensing,34,2024-12-13,Khadija Fawzy
DT0000292,DR164,H001,Dispensing,41,2024-11-14,Nashaat El-Diwany
DT0000293,DR129,H001,Purchase,239,2024-06-04,Khaled El-Hamzawy
DT0000294,DR170,H001,Dispensing,34,2024-09-21,Marwan Shehata
DT0000295,DR004,H001,Dispensing,16,2025-04-23,Magid Ghanem
DT0000296,DR067,H001,Dispensing,2,2024-11-19,Wassim Amin
DT0000297,DR051,H001,Wastage,27,2024-11-16,Sobhi Eid
DT0000298,DR057,H001,Dispensing,4,2024-05-26,Ziad El-Assar
DT0000299,DR084,H001,Purchase,347,2024-09-06,Saad El-Sayed
DT0000300,DR050,H001,Dispensing,28,2025-04-27,Aisha Ali
DT0000301,DR030,H001,Dispensing,31,2024-10-04,Safaa Hegazy
DT0000302,DR037,H001,Dispensing,10,2024-07-26,Lamia Ismail
DT0000303,DR153,H001,Purchase,201,2024-08-22,Randa Abdallah
DT0000304,DR077,H001,Purchase,113,2025-01-03,Hatem Radwan
DT0000305,DR155,H001,Return,13,2024-06-17,Aisha Ali
DT0000306,DR031,H001,Wastage,10,2024-09-22,Fathy El-Gohary
DT0000307,DR111,H001,Dispensing,22,2025-01-29,Mahmoud Abdel-Aziz
DT0000308,DR090,H001,Wastage,18,2025-04-05,Samira Lotfy
DT0000309,DR012,H001,Dispensing,9,2025-02-10,Salma Hatem
DT0000310,DR010,H001,Purchase,69,2024-11-08,Farida El-Malt
DT0000311,DR036,H001,Dispensing,7,2024-08-21,Shereen Shaaban
DT0000312,DR029,H001,Dispensing,6,2025-03-10,Omar El-Hariry
DT0000313,DR009,H001,Dispensing,2,2024-10-02,Diaa Gaber
DT0000314,DR023,H001,Dispensing,16,2024-09-23,Shaimaa Mansour
DT0000315,DR063,H001,Dispensing,10,2025-05-04,Sobhi Eid
DT0000316,DR068,H001,Purchase,210,2025-01-03,Yara El-Tayeb
DT0000317,DR079,H001,Adjustment,16,2024-05-14,Magid Ghanem
DT0000318,DR153,H001,Return,8,2024-11-01,Asmaa El-Shaer
DT0000319,DR054,H001,Purchase,240,2025-02-12,Nevine Nofal
DT0000320,DR005,H001,Purchase,342,2024-10-02,Basma Abdel-Monem
DT0000321,DR155,H001,Return,29,2025-03-15,Lamia Ismail
DT0000322,DR169,H001,Purchase,375,2025-05-02,Raafat Mahrous
DT0000323,DR073,H001,Dispensing,23,2024-10-26,Sobhi Osman
DT0000324,DR087,H001,Purchase,357,2025-02-12,Shaimaa Mansour
DT0000325,DR161,H001,Wastage,19,2025-01-26,Mamdouh El-Gohary
DT0000326,DR138,H001,Dispensing,28,2025-04-10,Basel Ali
DT0000327,DR153,H001,Adjustment,17,2024-07-21,Nour El-Zanaty
DT0000328,DR133,H001,Return,12,2025-01-15,Nagwa Gaber
DT0000329,DR081,H001,Dispensing,15,2024-11-05,Rania Abdel-Aziz
DT0000330,DR055,H001,Dispensing,40,2024-08-09,Lamia Ali
DT0000331,DR123,H001,Dispensing,9,2024-06-26,Raafat Mahrous
DT0000332,DR143,H001,Wastage,22,2025-03-16,Tharwat El-Banna
DT0000333,DR142,H001,Dispensing,21,2024-06-20,Yara El-Tayeb
DT0000334,DR115,H001,Purchase,194,2025-04-15,Hazem Hassan
DT0000335,DR159,H001,Purchase,355,2024-12-14,Rozan El-Sayed
DT0000336,DR138,H001,Dispensing,32,2024-08-03,Amr Bayoumi
DT0000337,DR054,H001,Dispensing,30,2024-09-16,Sherif Abdel-Monem
DT0000338,DR042,H001,Dispensing,15,2024-09-04,Ziad El-Assar
DT0000339,DR128,H001,Adjustment,8,2024-11-03,Howaida El-Arabi
DT0000340,DR101,H001,Dispensing,183,2024-07-05,Hind Shalaby
DT0000341,DR067,H001,Dispensing,13,2025-04-26,Nabil Soliman
DT0000342,DR139,H001,Purchase,74,2025-03-23,Basel Barakat
DT0000343,DR133,H001,Dispensing,35,2025-04-15,Nadia Fawzy
DT0000344,DR158,H001,Purchase,450,2024-12-18,Basma Abdel-Monem
DT0000345,DR031,H001,Dispensing,36,2024-08-15,Zaki Khalil
DT0000346,DR056,H001,Dispensing,16,2025-02-06,Basel Barakat
DT0000347,DR056,H001,Dispensing,45,2024-08-01,Farida El-Gohary
DT0000348,DR041,H001,Purchase,303,2025-03-02,Bahaa Ahmed
DT0000349,DR043,H001,Return,27,2024-08-18,Abdelhamid Hanafy
DT0000350,DR065,H001,Dispensing,27,2025-02-07,Raafat Morsi
DT0000351,DR029,H002,Dispensing,46,2024-09-01,Omar El-Hariry
DT0000352,DR011,H002,Dispensing,40,2024-10-31,Hind Shalaby
DT0000353,DR033,H002,Return,12,2024-09-19,Akram Bayoumi
DT0000354,DR136,H002,Purchase,91,2024-12-25,Salma Hamouda
DT0000355,DR065,H002,Dispensing,33,2025-04-30,Ramzy Rushdy
DT0000356,DR168,H002,Dispensing,32,2024-07-08,Ramzy Ibrahim
DT0000357,DR112,H002,Dispensing,32,2024-05-14,Riham Rashad
DT0000358,DR131,H002,Dispensing,10,2025-03-06,Soha Gaber
DT0000359,DR083,H002,Dispensing,46,2024-10-19,Samira Lotfy
DT0000360,DR011,H002,Dispensing,13,2024-12-09,Iman Selim
DT0000361,DR100,H002,Dispensing,22,2024-10-10,Hazem Hassan
DT0000362,DR075,H002,Dispensing,31,2024-07-01,Ramzy Ibrahim
DT0000363,DR018,H002,Dispensing,9,2024-05-10,Rania Abdel-Aziz
DT0000364,DR141,H002,Dispensing,33,2025-04-13,Karam Morsi
DT0000365,DR108,H002,Purchase,150,2024-10-13,Farida El-Gohary
DT0000366,DR035,H002,Purchase,485,2024-09-04,Raafat Mahrous
DT0000367,DR025,H002,Dispensing,25,2025-03-26,Yara El-Tayeb
DT0000368,DR164,H002,Adjustment,14,2024-12-10,Howaida El-Arabi
DT0000369,DR132,H002,Purchase,365,2025-03-14,Karam Morsi
DT0000370,DR166,H002,Adjustment,14,2024-12-21,Iman Selim
DT0000371,DR008,H002,Purchase,259,2024-10-01,Dalia El-Banna
DT0000372,DR062,H002,Dispensing,13,2024-12-03,Youssef Hamouda
DT0000373,DR072,H002,Adjustment,19,2024-11-27,Walid El-Desouky
DT0000374,DR099,H002,Purchase,385,2025-01-29,Samer El-Wakeel
